codigo,linha,latitude,longitude
30536,5704A1,-22.839141666666666,-43.295496666666665
50307,42,-22.940998333333333,-43.37255666666667
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.839405,-43.23992333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.915793333333333,-43.36141666666666
44734,5704A1,-22.918456666666668,-43.365095
50310,5704A1,-22.839258333333333,-43.240135
27205,42,-22.837878333333332,-43.285133333333334
41433,5704A1,-22.973401666666668,-43.366795
10303,42,-22.85513,-43.25978333333333
27202,42,-22.898573333333335,-43.35288
27191,42,-22.839503333333333,-43.23974666666667
22023,5704A1,-22.882118333333334,-43.34174
47024,5704A1,-22.958473333333334,-43.38247
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.846126666666667,-43.302843333333335
13414,42,-22.95229,-43.348816666666664
27209,42,-22.847075,-43.24416166666666
44709,5704A1,-22.861061666666668,-43.35552666666667
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.895353333333333,-43.350093333333334
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.845353333333332,-43.268013333333336
22027,5704A1,-22.957825,-43.34642166666666
12707,5704A1,-22.839895,-43.23945166666667
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.84066333333333,-43.28097
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.852421666666668,-43.31615333333333
10304,42,-22.839843333333334,-43.282113333333335
12705,5704A1,-22.841428333333333,-43.276028333333336
13424,5704A1,-23.000945,-43.36537
22009,5704A1,-22.987996666666668,-43.36591166666667
27201,5704A1,-22.996558333333333,-43.365865
10306,42,-22.840043333333334,-43.239403333333335
50302,42,-22.872101666666666,-43.33623
10307,5704A1,-22.839225,-43.240105
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-23.000851666666666,-43.36711666666667
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.872978333333332,-43.33624833333333
30536,5704A1,-22.84920333333333,-43.246296666666666
50307,42,-22.922523333333334,-43.37256166666667
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.924791666666668,-43.37385166666667
12740,42,-22.85432,-43.25161666666666
30540,42,-22.940991666666665,-43.37253833333333
50310,5704A1,-22.905355,-43.357445
27205,42,-22.851036666666666,-43.263355
10303,42,-22.84668,-43.242178333333335
27202,42,-22.898573333333335,-43.35288
27191,42,-22.841305,-43.23931666666667
22023,5704A1,-22.838653333333333,-43.294693333333335
47024,5704A1,-22.935833333333335,-43.371475
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.849213333333335,-43.264918333333334
13414,42,-22.949811666666665,-43.34793833333333
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.84979,-43.32340833333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.872418333333332,-43.336306666666665
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.839725,-43.23954166666667
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839721666666666,-43.239655
30511,42,-22.85294,-43.32001833333333
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.897178333333333,-43.35167666666667
10304,42,-22.854928333333334,-43.252001666666665
12705,5704A1,-22.853476666666666,-43.261633333333336
22009,5704A1,-23.001416666666668,-43.36745666666667
27201,5704A1,-22.936916666666665,-43.371735
10306,42,-22.842078333333333,-43.276831666666666
50302,42,-22.922778333333333,-43.37325166666667
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-23.00071833333333,-43.368255
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.849163333333333,-43.307401666666664
30536,5704A1,-22.960025,-43.38954833333333
