codigo,linha,latitude,longitude
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.849845,-43.32338333333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-23.00139,-43.36731666666667
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.897433333333332,-43.35191833333333
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839721666666666,-43.239655
30511,42,-22.929676666666666,-43.373553333333334
27168,5704A1,-22.973351666666666,-43.38271
10304,42,-22.861266666666666,-43.33017666666667
12705,5704A1,-22.866023333333334,-43.33439
22009,5704A1,-22.850335,-43.30903
27201,5704A1,-22.900048333333334,-43.35402666666667
10306,42,-22.94096,-43.37255
50302,42,-22.856655,-43.32903
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.870318333333334,-43.33565333333333
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.84863,-43.265388333333334
30536,5704A1,-23.001416666666668,-43.367913333333334
50307,42,-22.841618333333333,-43.279336666666666
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.852828333333335,-43.312895
12740,42,-22.85432,-43.25161666666666
30540,42,-22.84106,-43.23954833333333
50310,5704A1,-22.921423333333333,-43.370691666666666
27205,42,-22.929685,-43.373338333333336
41433,42,-22.854696666666666,-43.251645
10303,42,-22.941183333333335,-43.372663333333335
27202,42,-22.898573333333335,-43.35288
27191,42,-22.929598333333335,-43.373555
22023,5704A1,-22.919381666666666,-43.36689
47024,5704A1,-22.84091,-43.28042833333333
30523,42,-22.854686666666666,-43.25420666666667
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.924083333333332,-43.3741
13414,42,-22.949811666666665,-43.34793833333333
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.849845,-43.32338333333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.88177,-43.341876666666664
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-23.000975,-43.3655
22027,5704A1,-22.957825,-43.34642166666666
27204,42,-22.983253333333334,-43.36582166666667
10305,42,-22.839721666666666,-43.239655
30511,42,-22.853118333333335,-43.314143333333334
27168,5704A1,-22.852398333333333,-43.312535
44710,5704A1,-22.894016666666666,-43.349275
10304,42,-22.941,-43.372546666666665
12705,5704A1,-22.959305,-43.38619833333333
22009,5704A1,-22.845338333333334,-43.238925
27201,5704A1,-22.854946666666667,-43.25299166666667
50302,42,-22.839346666666668,-43.23988166666667
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.839421666666667,-43.23992833333333
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.893255,-43.34880833333333
