codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.58139166666667,,0.0,,1.511255837E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830948333333335,4056.0,355A1,-43.32334333333335,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511257353E12
82536,-22.922926666666665,0.0,0.0,-43.37464666666668,,15.742,,1.511257347E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.961561666666665,227.0,855A1,-43.61167833333334,volta,28.5208,855A1 - MAGARÇA X BANGU,1.511257345E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-23.00173666666667,236.0,890A1,-43.36467,ida,0.0,890A1 - TANQUE X TERMINAL ALVORADA,1.511257331E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.99469,0.0,0.0,-43.393764,,0.0,,1.511255906E12
30502,-23.000165,3627.0,18,-43.397533333333335,volta,58.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511257351E12
12734,-22.948118333333333,3551.0,5850A1,-43.39116166666667,ida,59.0,51 - T. Recreio x Vila Militar (Parador),1.51125732E12
86861,-23.000115,113.0,5802A1,-43.37119166666667,volta,48.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511257361E12
50035,-22.948003333333336,0.0,0.0,-43.390328333333336,,0.0,,1.511257359E12
47884,-22.928403333333335,117.0,610A1,-43.36523333333334,volta,10.9268,610A1 - DEL CASTILHO X BRT TANQUE,1.51125736E12
22024,-22.999871666666667,4808.0,25,-43.40622666666667,volta,46.0,25 - J.OCEÂNICO X MATO ALTO,1.51125736E12
22058,-22.988215,3900.0,827A1,-43.45479833333332,ida,6.2968,827A1 - RECREIO X VARGEM GRANDE,1.511257358E12
87562,-23.019956666666666,106.0,5800A1,-43.488006666666664,ida,45.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511257349E12
L 200 KXB-8909,-23.017278,0.0,0.0,-43.477714,,44.0,,1.511257351E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.015425,121.0,5801A1,-43.52126666666667,volta,54.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511257106E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511257356E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.995971666666666,3551.0,5850A1,-43.42415166666667,ida,57.0,51 - T. Recreio x Vila Militar (Parador),1.511257351E12
86850,-22.920325,132.0,5805A1,-43.64310666666667,ida,39.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511257352E12
75629,-22.83793166666667,4055.0,928A1,-43.28811833333332,volta,0.0,928A1 -  MARECHAL HERMES X RAMOS(CIRCULAR),1.511257348E12
86805,-23.009378333333334,125.0,5807A1,-43.44752,volta,0.0,19 - SALVADOR ALLENDE X PINGO D'AGUA ( EXPRESSO ),1.511256846E12
30187,-23.00214,0.0,0.0,-43.36511166666666,,26.6688,,1.511257336E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.02078,3626.0,18,-43.49180666666667,ida,45.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511257358E12
86801,-22.994073333333333,112.0,5802A1,-43.59658833333334,ida,0.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511257343E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.846196666666668,0.0,0.0,-43.240543333333335,,8.8896,,1.511257346E12
30536,-22.839393333333334,147.0,5704A1,-43.283013333333344,volta,0.0,36 - ALVORADA X FUNDÃO ( EXPRESSO ),1.511257355E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
