codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-23.002335,0.0,0.0,-43.57129666666667,,68.0,,1.511258221E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.826788333333337,4056.0,355A1,-43.316610000000004,ida,28.3356,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511258228E12
82536,-22.947328333333335,0.0,0.0,-43.390205,,16.1124,,1.511258204E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.938323333333333,227.0,855A1,-43.58763333333333,volta,18.8904,855A1 - MAGARÇA X BANGU,1.511258223E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-23.000858333333333,237.0,890A1,-43.36337,volta,0.0,890A1 - TERMINAL ALVORADA X TANQUE,1.511258207E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994812,0.0,0.0,-43.393417,,0.0,,1.511257732E12
30502,-23.016988333333334,3627.0,18,-43.477625,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511258209E12
12734,-22.865318333333335,3551.0,5850A1,-43.40755166666667,ida,60.0,51 - T. Recreio x Vila Militar (Parador),1.511258225E12
86861,-23.010685,113.0,5802A1,-43.45251,volta,42.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511258224E12
50035,-22.95957166666667,0.0,0.0,-43.38814333333333,,0.1852,,1.511258227E12
47884,-22.915556666666664,116.0,610A1,-43.360798333333335,ida,0.0,610A1 - BRT TANQUE X DEL CASTILHO,1.511258114E12
22024,-23.01954,4808.0,25,-43.487851666666664,volta,9.0,25 - J.OCEÂNICO X MATO ALTO,1.511258222E12
22058,-22.970535,3900.0,827A1,-43.49404500000001,ida,18.1496,827A1 - RECREIO X VARGEM GRANDE,1.511258198E12
87562,-23.00022166666667,106.0,5800A1,-43.4004,ida,57.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.51125821E12
L 200 KXB-8909,-23.007465,0.0,0.0,-43.43951,,0.0,,1.511257885E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-22.9654,120.0,5801A1,-43.646655,ida,42.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511258206E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511258216E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.946286666666666,3551.0,5850A1,-43.39364666666667,ida,54.0,51 - T. Recreio x Vila Militar (Parador),1.511258111E12
86850,-22.91769,133.0,5805A1,-43.68339,volta,4.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511258226E12
75629,-22.844793333333335,4055.0,928A1,-43.26787333333332,volta,0.0,928A1 -  MARECHAL HERMES X RAMOS(CIRCULAR),1.511258228E12
86805,-22.988621666666667,125.0,5807A1,-43.60338333333333,volta,52.0,19 - SALVADOR ALLENDE X PINGO D'AGUA ( EXPRESSO ),1.511258227E12
30187,-23.000643333333333,0.0,0.0,-43.339053333333325,,26.2984,,1.511258219E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.000463333333332,3626.0,18,-43.414876666666665,ida,61.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511258226E12
86801,-23.019725,112.0,5802A1,-43.487626666666664,ida,0.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511258214E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.883968333333335,0.0,0.0,-43.23671333333332,,53.522800000000004,,1.511258221E12
30536,-22.84920333333333,147.0,5704A1,-43.246296666666666,volta,59.0,36 - ALVORADA X FUNDÃO ( EXPRESSO ),1.511258217E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.006876666666667,4810.0,21A,-43.31241833333333,volta,0.0,21A -  J.O  X RECREIO SHOPPING (PARADOR),1.511258209E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511258224E12
86859,-23.01219,120.0,5801A1,-43.457753333333336,ida,3.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511258211E12
