codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999986666666665,0.0,0.0,-43.581381666666665,,0.0,,1.511254037E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830946666666666,4056.0,355A1,-43.32332833333333,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511254124E12
82536,-22.91578666666667,0.0,0.0,-43.42558666666667,,28.706,,1.511254694E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.908301666666663,226.0,855A1,-43.56603833333334,ida,0.1852,855A1 - BANGU X MAGARÇA,1.511254725E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.928515,236.0,890A1,-43.356365000000004,ida,0.0,890A1 - TANQUE X TERMINAL ALVORADA,1.511254715E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.99469,0.0,0.0,-43.393764,,0.0,,1.51125417E12
30502,-23.008331666666667,3626.0,18,-43.442843333333336,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511254744E12
12734,-22.91867166666667,3552.0,5850A1,-43.39654,volta,42.0,51 - Vila Militar x T. Recreio (Parador),1.511254744E12
86861,-23.000096666666668,112.0,5802A1,-43.58054666666666,ida,59.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511254738E12
50035,-22.915601666666664,0.0,0.0,-43.42653833333334,,5.3708,,1.511254737E12
47884,-22.926015,116.0,610A1,-43.340143333333344,ida,37.4104,610A1 - BRT TANQUE X DEL CASTILHO,1.51125474E12
22024,-23.000398333333333,4807.0,25,-43.37722,ida,57.0,25 - MATO ALTO X J.OCEÂNICO,1.511254733E12
22058,-23.01497,3901.0,827A1,-43.47014833333333,volta,12.7788,827A1 - VARGEM GRANDE X RECREIO,1.511254743E12
87562,-22.91722,106.0,5800A1,-43.683526666666666,ida,0.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511254743E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.39372,,0.0,,1.511252741E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.000113333333335,120.0,5801A1,-43.404355,ida,58.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511254728E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511254735E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.866396666666667,3552.0,5850A1,-43.40980666666667,volta,57.0,51 - Vila Militar x T. Recreio (Parador),1.511254731E12
86850,-22.908826666666666,133.0,5805A1,-43.57847666666667,volta,51.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511254735E12
75629,-22.874496666666666,4056.0,355A1,-43.33497833333334,ida,4.4448,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511254733E12
86805,-22.989848333333335,0.0,0.0,-43.601958333333336,,60.0,,1.511254731E12
30187,-22.927356666666665,0.0,0.0,-43.35981166666667,,9.26,,1.511254723E12
