codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999986666666665,0.0,0.0,-43.581381666666665,,0.0,,1.511254037E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830946666666666,4056.0,355A1,-43.32332833333333,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511254124E12
82536,-22.918448333333338,0.0,0.0,-43.41039166666666,,38.3364,,1.511254414E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.903389999999998,226.0,855A1,-43.56317666666667,ida,44.448,855A1 - BANGU X MAGARÇA,1.511254425E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.92367,236.0,890A1,-43.361473333333315,ida,7.0376,890A1 - TANQUE X TERMINAL ALVORADA,1.511254425E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.99469,0.0,0.0,-43.393764,,0.0,,1.51125417E12
30502,-23.014375,3626.0,18,-43.466315,ida,59.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511254434E12
12734,-22.86328333333333,3552.0,5850A1,-43.40332166666666,volta,51.0,51 - Vila Militar x T. Recreio (Parador),1.511254427E12
86861,-22.99407666666667,112.0,5802A1,-43.596561666666666,ida,0.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.51125444E12
50035,-22.915661666666665,0.0,0.0,-43.42603666666667,,15.742,,1.51125325E12
47884,-22.92688333333333,116.0,610A1,-43.348855,ida,0.926,610A1 - BRT TANQUE X DEL CASTILHO,1.511254442E12
22024,-23.001878333333334,4807.0,25,-43.42046333333333,ida,60.0,25 - MATO ALTO X J.OCEÂNICO,1.511254433E12
22058,-22.996883333333336,3901.0,827A1,-43.45025666666667,volta,14.6308,827A1 - VARGEM GRANDE X RECREIO,1.51125444E12
87562,-22.922745,107.0,5800A1,-43.679453333333335,volta,30.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511254442E12
L 200 KXB-8909,-22.994714,0.0,0.0,-43.39372,,0.0,,1.511252741E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.009615,120.0,5801A1,-43.44761166666667,ida,59.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511254436E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511254435E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.861451666666667,3552.0,5850A1,-43.39930666666667,volta,0.0,51 - Vila Militar x T. Recreio (Parador),1.511253689E12
86850,-22.914148333333333,133.0,5805A1,-43.60125333333333,volta,0.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511254437E12
75629,-22.876269999999998,4056.0,355A1,-43.33786333333334,ida,35.0028,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511254433E12
86805,-22.968685,0.0,0.0,-43.62208,,0.0,,1.511254436E12
30187,-22.91646166666667,0.0,0.0,-43.36218333333333,,4.2596,,1.511254421E12
