codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.91663,106.0,5800A1,-43.631885,ida,23.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511259969E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.869825,4056.0,355A1,-43.341503333333335,ida,1.1112,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511259943E12
82536,-22.932165,0.0,0.0,-43.38308,,28.3356,,1.511259955E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.894375,227.0,855A1,-43.53474833333333,volta,47.9668,855A1 - MAGARÇA X BANGU,1.511259944E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.93515166666667,237.0,890A1,-43.352591666666676,volta,39.818,890A1 - TERMINAL ALVORADA X TANQUE,1.511259934E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994812,0.0,0.0,-43.393417,,0.0,,1.511259532E12
30502,-23.011168333333334,3626.0,18,-43.45352333333334,ida,54.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511259961E12
12734,-22.932448333333333,3552.0,5850A1,-43.39542333333333,volta,46.0,51 - Vila Militar x T. Recreio (Parador),1.511259922E12
86861,-22.995976666666667,112.0,5802A1,-43.594295,ida,45.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.51125997E12
50035,-22.929404999999996,0.0,0.0,-43.373989999999985,,0.0,,1.511259961E12
47884,-22.91488,116.0,610A1,-43.36073833333333,ida,0.0,610A1 - BRT TANQUE X DEL CASTILHO,1.511259952E12
22024,-22.993796666666668,4807.0,25,-43.59691333333333,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.51125996E12
22058,-23.014771666666668,3901.0,827A1,-43.46672,volta,1.2964,827A1 - VARGEM GRANDE X RECREIO,1.511259953E12
87562,-23.00073,107.0,5800A1,-43.36586833333333,volta,0.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511258951E12
L 200 KXB-8909,-23.007465,0.0,0.0,-43.43951,,0.0,,1.511259896E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
