codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.916075,106.0,5800A1,-43.609045,ida,32.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511260289E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.86993166666667,4056.0,355A1,-43.34148666666667,ida,0.5556,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.51126013E12
82536,-22.931483333333336,0.0,0.0,-43.37735499999999,,15.3716,,1.511260094E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.88134166666667,227.0,855A1,-43.50022333333333,volta,43.8924,855A1 - MAGARÇA X BANGU,1.511260274E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.920608333333334,237.0,890A1,-43.36031166666668,volta,5.1856,890A1 - TERMINAL ALVORADA X TANQUE,1.511260289E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.994812,0.0,0.0,-43.393417,,0.0,,1.511259532E12
30502,-23.002251666666666,3626.0,18,-43.42171,ida,59.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511260289E12
12734,-22.963301666666666,3552.0,5850A1,-43.394235,volta,0.0,51 - Vila Militar x T. Recreio (Parador),1.511260296E12
86861,-23.007616666666667,112.0,5802A1,-43.544435,ida,60.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511260301E12
50035,-22.925125,0.0,0.0,-43.370393333333325,,0.0,,1.5112603E12
47884,-22.92048333333333,116.0,610A1,-43.370766666666654,ida,5.9264,610A1 - BRT TANQUE X DEL CASTILHO,1.511260294E12
22024,-22.993796666666668,4807.0,25,-43.59691333333333,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.5112603E12
22058,-23.01873833333333,3901.0,827A1,-43.45958666666665,volta,42.9664,827A1 - VARGEM GRANDE X RECREIO,1.51126028E12
87562,-23.00073,107.0,5800A1,-43.36586833333333,volta,0.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.511258951E12
L 200 KXB-8909,-23.003271,0.0,0.0,-43.42464,,48.0,,1.511260292E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.01338833333333,120.0,5801A1,-43.46227,ida,38.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511260286E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511260296E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.896828333333332,3552.0,5850A1,-43.398808333333335,volta,43.0,51 - Vila Militar x T. Recreio (Parador),1.511260252E12
86850,-22.914196666666665,133.0,5805A1,-43.60189833333333,volta,38.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511260289E12
75629,-22.85073,4054.0,928A1,-43.248591666666655,ida,0.3704,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.511260168E12
86805,-23.019876666666665,120.0,5801A1,-43.487991666666666,ida,32.0,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),1.511260288E12
30187,-22.978939999999998,0.0,0.0,-43.22239166666668,,0.1852,,1.511260192E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.006441666666667,3627.0,18,-43.31364833333333,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511260282E12
86801,-23.000336666666666,113.0,5802A1,-43.38464333333334,volta,59.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511260293E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.901925,0.0,0.0,-43.18062999999999,,27.2244,,1.51126028E12
30536,-22.837626666666665,146.0,5704A1,-43.28971333333333,ida,45.0,36 - FUNDÃO X ALVORADA ( EXPRESSO ),1.511260083E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.00719,4810.0,21A,-43.438988333333334,volta,58.0,21A -  J.O  X RECREIO SHOPPING (PARADOR),1.511260289E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511259401E12
