codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999986666666665,0.0,0.0,-43.581381666666665,,0.0,,1.511254037E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830946666666666,4056.0,355A1,-43.32332833333333,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511254124E12
82536,-22.916743333333336,0.0,0.0,-43.43266833333334,,0.3704,,1.511255508E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.955949999999998,226.0,855A1,-43.60536333333333,ida,1.1112,855A1 - BANGU X MAGARÇA,1.511255756E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.953416666666666,236.0,890A1,-43.357401666666675,ida,28.3356,890A1 - TANQUE X TERMINAL ALVORADA,1.511255764E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.99469,0.0,0.0,-43.393764,,0.0,,1.51125417E12
30502,-23.001008333333335,3626.0,18,-43.33020166666667,ida,10.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511255747E12
12734,-22.980248333333332,3552.0,5850A1,-43.40929333333333,volta,38.0,51 - Vila Militar x T. Recreio (Parador),1.511255757E12
86861,-23.013905,112.0,5802A1,-43.46441333333333,ida,60.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511255748E12
50035,-22.918908333333334,0.0,0.0,-43.39477333333334,,50.7448,,1.511255657E12
47884,-22.878705,117.0,610A1,-43.27225500000001,volta,0.1852,610A1 - DEL CASTILHO X BRT TANQUE,1.511255748E12
22024,-23.00682,4808.0,25,-43.3121,volta,8.0,25 - J.OCEÂNICO X MATO ALTO,1.511255754E12
22058,-23.007625,3901.0,827A1,-43.43863666666666,volta,35.7436,827A1 - VARGEM GRANDE X RECREIO,1.511255756E12
87562,-22.954355,106.0,5800A1,-43.64947166666666,ida,60.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511255746E12
L 200 KXB-8909,-23.011739,0.0,0.0,-43.457553,,0.0,,1.511255737E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.000405,121.0,5801A1,-43.38891,volta,40.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511255747E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511255756E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.948065,3552.0,5850A1,-43.3917,volta,0.0,51 - Vila Militar x T. Recreio (Parador),1.511255751E12
86850,-22.901915,132.0,5805A1,-43.554446666666664,ida,0.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511255748E12
75629,-22.85095666666667,4056.0,355A1,-43.309216666666664,ida,0.7408,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511255753E12
86805,-23.019695,0.0,0.0,-43.48746166666667,,0.0,,1.511255753E12
30187,-22.93951666666667,0.0,0.0,-43.34417833333334,,0.1852,,1.511255738E12
